id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1243665680022384641,Fri Mar 27 22:26:18 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @abc7newsbayarea: California Gov. Gavin Newsom issued an executive order on Friday banning the eviction of renters who are affected by C…,California Gov Gavin Newsom issued executive order Friday banning eviction renters affected C…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,744,magafato,,,abc7newsbayarea,"San Jose, CA",
1243665675849043969,Fri Mar 27 22:26:17 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@dougducey With all due respect, Governor, WE DON’T KNOW WHO HAS COVID-19 BECAUSE WE ARE LAST IN THE COUNTRY ON TES… https://t.co/wyl4rpkV8A",With due respect Governor WE DON ’ T KNOW WHO HAS COVID-19 BECAUSE WE ARE LAST IN THE COUNTRY ON TES…,"Sentiment(polarity=-0.0625, subjectivity=0.22083333333333333)",-0.0625,0.22083333333333333,en,0,14,mnellwood,,,dougducey,Tucson AZ,
1243665671726170113,Fri Mar 27 22:26:16 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ACNHCentral: Because we are all dealing with the #coronavirus, I thought I’d spread some positivity!! ❤️✨

I’m giving one person that r…",Because dealing I thought I ’ spread positivity ️ I ’ giving one person r…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,20,sonnyisbitter,,coronavirus,ACNHCentral,,
1243665667112329216,Fri Mar 27 22:26:15 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","We go from climate change to drought to bushfires to covid 19 Corona virus they our new season  not, Summer Winter… https://t.co/aS21ITlYpo",We go climate change drought bushfires covid Corona virus new season Summer Winter…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,37,damneat2110,False,,,GOMEROI,
1243665663144722432,Fri Mar 27 22:26:14 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GamingGifter: #CoronaLockdown is happening all around the world. To make someone’s day &amp; spread some positivity during in this dreadful…,happening around world To make someone ’ day amp spread positivity dreadful…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4931,SeagullNumber5,,CoronaLockdown,GamingGifter,"Kentucky, USA",
1243665659134971911,Fri Mar 27 22:26:13 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RT_com: BREAKING: #Trump greenlights call-up of one MILLION reservists to battle Covid-19 

https://t.co/vIVEBtaJuq https://t.co/k7qOAQ…",BREAKING greenlights call-up one MILLION reservists battle Covid-19,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Paulmatt8400,False,Trump,RT_com,"Austin,Tx",
1243665654982545410,Fri Mar 27 22:26:12 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @donahuejm: A NY Senate Bill proposes a 90-day rent suspension, small galleries have ignored requests for negotiations during their clos…",A NY Senate Bill proposes -day rent suspension small galleries ignored requests negotiations clos…,"Sentiment(polarity=-0.25, subjectivity=0.4)",-0.25,0.4,en,0,9540,cegeterie8,,,donahuejm,,
1243665650754531328,Fri Mar 27 22:26:11 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MinofHealthUG: 5 new cases of COVID-19 confirmed bringing the total to 23 cases in Uganda. Out of 227 samples run today at @UVRIug, 222…",new cases COVID-19 confirmed bringing total cases Uganda Out samples run today …,"Sentiment(polarity=0.1787878787878788, subjectivity=0.7348484848484849)",0.1787878787878788,0.7348484848484849,en,0,314,ethanimubiru,,,"MinofHealthUG, UVRIug","Kampala, Uganda",
1243665646530916352,Fri Mar 27 22:26:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Memej99: Pls help donate 2 the @SCDAAorg so that #SickleCell patients &amp; families in need can get essentials they need during #COVID19.…,Pls help donate patients amp families need get essentials need .…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,175,TheDarkGift_,,"SickleCell, COVID19","Memej99, SCDAAorg",,
1243665642206756869,Fri Mar 27 22:26:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @yiyoungvoices: Live now: #YMCA youth advocates with 
@CarloSanvee
  share how #Covid19 #Coronavirus is affecting us all globally and id…",Live youth advocates share affecting us globally id…,"Sentiment(polarity=0.06818181818181818, subjectivity=0.25)",0.06818181818181818,0.25,en,0,9545,TalksWild,,"YMCA, Covid19, Coronavirus","yiyoungvoices, carloSanvee",,
1243665638188634117,Fri Mar 27 22:26:08 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MONBEBEnt: Don't forget! Monsta X will be in tomorrows Twitch livestream to raise funds to battle COVID-19. If you have any extra $ you…,Do n't forget Monsta X tomorrows Twitch livestream raise funds battle COVID-19 If extra you…,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,en,0,16166,MonbebePolska,,,MONBEBEnt,,
1243665633939558402,Fri Mar 27 22:26:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@JoeBiden And what’s Andrew Cuomo’s excuse. He’s letting New Yorkers flee the city taking covid-19 to god knows where.,And ’ Andrew Cuomo ’ excuse He ’ letting New Yorkers flee city taking covid-19 god knows,"Sentiment(polarity=0.043181818181818175, subjectivity=0.25227272727272726)",0.043181818181818175,0.25227272727272726,en,0,4088,cjdobbs1,,,JoeBiden,"Fort Worth, TX",
1243665629766443011,Fri Mar 27 22:26:06 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jpuopolo: Wow @realDonaldTrump basically just said the biggest faults of state governors are that they aren't appreciative enough.  

#…",Wow basically said biggest faults state governors n't appreciative enough …,"Sentiment(polarity=0.2333333333333333, subjectivity=0.7999999999999999)",0.2333333333333333,0.7999999999999999,en,0,103835,blushooz1920,,,"jpuopolo, realDonaldTrump",Ouchea,
1243665625605476352,Fri Mar 27 22:26:05 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2020 air cargo volume may drop 20%, IATA says, while Airfreight rates continue to rise as capacity remains tight du… https://t.co/RrdO0V6JJ3",air cargo volume may drop IATA says Airfreight rates continue rise capacity remains tight du…,"Sentiment(polarity=-0.17857142857142858, subjectivity=0.2857142857142857)",-0.17857142857142858,0.2857142857142857,en,0,2,RedArrow3PL,False,,,"Bellevue, Washington",
1243665621352669185,Fri Mar 27 22:26:04 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @channelstv: BREAKING: Davido Goes Into Self-Isolation As Fiancée, Chioma Tests Positive For COVID-19
https://t.co/jpjM6Hgya4 https://t.…",BREAKING Davido Goes Into Self-Isolation As Fiancée Chioma Tests Positive For COVID-19,"Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)",0.22727272727272727,0.5454545454545454,en,0,0,Olawaletimoth14,False,,channelstv,Nigeria,
1243665617120616448,Fri Mar 27 22:26:03 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DrLaPook: Tonight on @CBSEveningNews: how a blood test looking for evidence of immunity to #COVID19 could lead to a new treatment PLUS…,Tonight blood test looking evidence immunity could lead new treatment PLUS…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,15,AnneLaBarbera,,COVID19,"DrLaPook, CBSEveningNews","New York, NY",
